Element Index,Addition Cost,Copy Cost,Total Cost,Amortized Cost
326,1,0,837,2.5674846626
327,1,0,838,2.5626911315
328,1,0,839,2.5579268293
329,1,0,840,2.5531914894
330,1,0,841,2.5484848485
331,1,0,842,2.5438066465
332,1,0,843,2.5391566265
333,1,0,844,2.5345345345
334,1,0,845,2.5299401198
335,1,0,846,2.5253731343
336,1,0,847,2.5208333333
337,1,0,848,2.5163204748
338,1,0,849,2.5118343195
339,1,0,850,2.5073746313
340,1,0,851,2.5029411765
341,1,0,852,2.4985337243
342,1,0,853,2.4941520468
343,1,0,854,2.4897959184
344,1,0,855,2.4854651163
345,1,0,856,2.4811594203
346,1,0,857,2.4768786127
347,1,0,858,2.4726224784
348,1,0,859,2.4683908046
349,1,0,860,2.4641833811
350,1,0,861,2.4600000000
351,1,0,862,2.4558404558
352,1,0,863,2.4517045455
353,1,0,864,2.4475920680
354,1,0,865,2.4435028249
355,1,0,866,2.4394366197
356,1,0,867,2.4353932584
357,1,0,868,2.4313725490
358,1,0,869,2.4273743017
359,1,0,870,2.4233983287
360,1,0,871,2.4194444444
361,1,0,872,2.4155124654
362,1,0,873,2.4116022099
363,1,0,874,2.4077134986
364,1,0,875,2.4038461538
365,1,0,876,2.4000000000
366,1,0,877,2.3961748634
367,1,0,878,2.3923705722
368,1,0,879,2.3885869565
369,1,0,880,2.3848238482
370,1,0,881,2.3810810811
371,1,0,882,2.3773584906
372,1,0,883,2.3736559140
373,1,0,884,2.3699731903
374,1,0,885,2.3663101604
375,1,0,886,2.3626666667
376,1,0,887,2.3590425532
377,1,0,888,2.3554376658
378,1,0,889,2.3518518519
379,1,0,890,2.3482849604
380,1,0,891,2.3447368421
381,1,0,892,2.3412073491
382,1,0,893,2.3376963351
383,1,0,894,2.3342036554
384,1,0,895,2.3307291667
385,1,0,896,2.3272727273
386,1,0,897,2.3238341969
387,1,0,898,2.3204134367
388,1,0,899,2.3170103093
389,1,0,900,2.3136246787
390,1,0,901,2.3102564103
391,1,0,902,2.3069053708
392,1,0,903,2.3035714286
393,1,0,904,2.3002544529
394,1,0,905,2.2969543147
395,1,0,906,2.2936708861
396,1,0,907,2.2904040404
397,1,0,908,2.2871536524
398,1,0,909,2.2839195980
399,1,0,910,2.2807017544
400,1,0,911,2.2775000000
401,1,0,912,2.2743142145
402,1,0,913,2.2711442786
403,1,0,914,2.2679900744
404,1,0,915,2.2648514851
405,1,0,916,2.2617283951
406,1,0,917,2.2586206897
407,1,0,918,2.2555282555
408,1,0,919,2.2524509804
409,1,0,920,2.2493887531
410,1,0,921,2.2463414634
411,1,0,922,2.2433090024
412,1,0,923,2.2402912621
413,1,0,924,2.2372881356
414,1,0,925,2.2342995169
415,1,0,926,2.2313253012
416,1,0,927,2.2283653846
417,1,0,928,2.2254196643
418,1,0,929,2.2224880383
419,1,0,930,2.2195704057
420,1,0,931,2.2166666667
421,1,0,932,2.2137767221
422,1,0,933,2.2109004739
423,1,0,934,2.2080378251
424,1,0,935,2.2051886792
425,1,0,936,2.2023529412
426,1,0,937,2.1995305164
427,1,0,938,2.1967213115
428,1,0,939,2.1939252336
429,1,0,940,2.1911421911
430,1,0,941,2.1883720930
431,1,0,942,2.1856148492
432,1,0,943,2.1828703704
433,1,0,944,2.1801385681
434,1,0,945,2.1774193548
435,1,0,946,2.1747126437
436,1,0,947,2.1720183486
437,1,0,948,2.1693363844
438,1,0,949,2.1666666667
439,1,0,950,2.1640091116
440,1,0,951,2.1613636364
441,1,0,952,2.1587301587
442,1,0,953,2.1561085973
443,1,0,954,2.1534988713
444,1,0,955,2.1509009009
445,1,0,956,2.1483146067
446,1,0,957,2.1457399103
447,1,0,958,2.1431767338
448,1,0,959,2.1406250000
449,1,0,960,2.1380846325
450,1,0,961,2.1355555556
451,1,0,962,2.1330376940
452,1,0,963,2.1305309735
453,1,0,964,2.1280353201
454,1,0,965,2.1255506608
455,1,0,966,2.1230769231
456,1,0,967,2.1206140351
457,1,0,968,2.1181619256
458,1,0,969,2.1157205240
459,1,0,970,2.1132897603
460,1,0,971,2.1108695652
461,1,0,972,2.1084598698
462,1,0,973,2.1060606061
463,1,0,974,2.1036717063
464,1,0,975,2.1012931034
465,1,0,976,2.0989247312
466,1,0,977,2.0965665236
467,1,0,978,2.0942184154
468,1,0,979,2.0918803419
469,1,0,980,2.0895522388
470,1,0,981,2.0872340426
471,1,0,982,2.0849256900
472,1,0,983,2.0826271186
473,1,0,984,2.0803382664
474,1,0,985,2.0780590717
475,1,0,986,2.0757894737
476,1,0,987,2.0735294118
477,1,0,988,2.0712788260
478,1,0,989,2.0690376569
479,1,0,990,2.0668058455
480,1,0,991,2.0645833333
481,1,0,992,2.0623700624
482,1,0,993,2.0601659751
483,1,0,994,2.0579710145
484,1,0,995,2.0557851240
485,1,0,996,2.0536082474
486,1,0,997,2.0514403292
487,1,0,998,2.0492813142
488,1,0,999,2.0471311475
489,1,0,1000,2.0449897751
490,1,0,1001,2.0428571429
491,1,0,1002,2.0407331976
492,1,0,1003,2.0386178862
493,1,0,1004,2.0365111562
494,1,0,1005,2.0344129555
495,1,0,1006,2.0323232323
496,1,0,1007,2.0302419355
497,1,0,1008,2.0281690141
498,1,0,1009,2.0261044177
499,1,0,1010,2.0240480962
500,1,0,1011,2.0220000000
501,1,0,1012,2.0199600798
502,1,0,1013,2.0179282869
503,1,0,1014,2.0159045726
504,1,0,1015,2.0138888889
505,1,0,1016,2.0118811881
506,1,0,1017,2.0098814229
507,1,0,1018,2.0078895464
508,1,0,1019,2.0059055118
509,1,0,1020,2.0039292731
510,1,0,1021,2.0019607843
511,1,0,1022,2.0000000000
512,1,0,1023,1.9980468750
513,1,512,1536,2.9941520468
514,1,0,1537,2.9902723735
515,1,0,1538,2.9864077670
516,1,0,1539,2.9825581395
517,1,0,1540,2.9787234043
518,1,0,1541,2.9749034749
519,1,0,1542,2.9710982659
520,1,0,1543,2.9673076923
521,1,0,1544,2.9635316699
522,1,0,1545,2.9597701149
523,1,0,1546,2.9560229446
524,1,0,1547,2.9522900763
525,1,0,1548,2.9485714286
526,1,0,1549,2.9448669202
527,1,0,1550,2.9411764706
528,1,0,1551,2.9375000000
529,1,0,1552,2.9338374291
530,1,0,1553,2.9301886792
531,1,0,1554,2.9265536723
532,1,0,1555,2.9229323308
533,1,0,1556,2.9193245779
534,1,0,1557,2.9157303371
535,1,0,1558,2.9121495327
536,1,0,1559,2.9085820896
537,1,0,1560,2.9050279330
538,1,0,1561,2.9014869888
539,1,0,1562,2.8979591837
540,1,0,1563,2.8944444444
541,1,0,1564,2.8909426987
542,1,0,1565,2.8874538745
543,1,0,1566,2.8839779006
544,1,0,1567,2.8805147059
545,1,0,1568,2.8770642202
546,1,0,1569,2.8736263736
547,1,0,1570,2.8702010969
548,1,0,1571,2.8667883212
549,1,0,1572,2.8633879781
550,1,0,1573,2.8600000000
551,1,0,1574,2.8566243194
552,1,0,1575,2.8532608696
553,1,0,1576,2.8499095841
554,1,0,1577,2.8465703971
555,1,0,1578,2.8432432432
556,1,0,1579,2.8399280576
557,1,0,1580,2.8366247756
558,1,0,1581,2.8333333333
559,1,0,1582,2.8300536673
560,1,0,1583,2.8267857143
561,1,0,1584,2.8235294118
562,1,0,1585,2.8202846975
563,1,0,1586,2.8170515098
564,1,0,1587,2.8138297872
